Date,Time,Level,Source_IP,Dest_IP,Destination_Port,Proto,Action,Policy_ID,Service,Sent_Bytes,Received_Bytes
29/03/2022,17:01:30,notice,10.0.2.101,172.217.16.142,443,TCP,close,1,HTTPS,38458,1437178
29/03/2022,17:01:31,notice,10.0.2.101,54.191.161.131,443,TCP,close,1,HTTPS,1973,5304
29/03/2022,17:01:31,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,66,337
29/03/2022,17:01:31,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,65,336
29/03/2022,17:01:32,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,515
29/03/2022,17:01:32,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,68,477
29/03/2022,17:01:32,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,66,337
29/03/2022,17:01:32,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,66,349
29/03/2022,17:01:33,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,65,336
29/03/2022,17:01:33,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,114,1040
29/03/2022,17:01:34,notice,10.0.2.101,34.215.101.141,443,TCP,close,1,HTTPS,2219,5823
29/03/2022,17:01:35,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,57,536
29/03/2022,17:01:35,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,57,424
29/03/2022,17:01:35,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,74,377
29/03/2022,17:01:35,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,72,343
29/03/2022,17:01:35,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,63,363
29/03/2022,17:01:36,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,136,306
29/03/2022,17:01:36,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,136,306
29/03/2022,17:01:37,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,72,355
29/03/2022,17:01:37,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,71,335
29/03/2022,17:01:37,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,130,696
29/03/2022,17:01:37,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,65,348
29/03/2022,17:01:37,notice,10.0.2.101,213.57.22.5,53,UDP,accept,1,DNS,63,522
29/03/2022,17:01:37,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,65,329
29/03/2022,17:01:37,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,65,329
29/03/2022,17:01:38,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,65,341
29/03/2022,17:01:38,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,61,478
29/03/2022,17:01:38,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,71,347
29/03/2022,17:01:38,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,75,452
29/03/2022,17:01:38,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,81,498
29/03/2022,17:01:38,notice,10.0.2.101,13.225.253.56,443,TCP,close,1,HTTPS,344390,9797956
29/03/2022,17:01:39,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,81,498
29/03/2022,17:01:39,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,75,452
29/03/2022,17:01:39,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,75,162
29/03/2022,17:01:40,notice,10.0.2.101,65.9.103.38,443,TCP,close,1,HTTPS,823,1600
29/03/2022,17:01:41,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,150,312
29/03/2022,17:01:56,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,76,502
29/03/2022,17:01:58,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,76,502
29/03/2022,17:01:58,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,76,502
29/03/2022,17:01:58,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,89,402
29/03/2022,17:01:58,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,89,182
29/03/2022,17:02:00,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,70,475
29/03/2022,17:02:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,344
29/03/2022,17:02:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,344
29/03/2022,17:02:01,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,70,475
29/03/2022,17:02:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,69,429
29/03/2022,17:02:01,notice,10.0.2.100,213.57.22.5,53,UDP,accept,1,DNS,73,356
29/03/2022,17:02:01,notice,10.0.2.101,34.120.208.123,443,TCP,close,1,HTTPS,5925,6220
29/03/2022,17:02:02,notice,10.0.2.100,213.57.2.5,53,UDP,accept,1,DNS,146,694
